# Skill names mined from the corpus (issue #40), written by scripts/taxonomy_mine.py.
# Corpus: the 26587 IN descriptions of the development database, newest vacancy update 2026-09-20.
# Left out: every form of docs/measurements/taxonomy-candidates-2026-09-24.tsv and every key of src/main/resources/taxonomy/skills.tsv.
# Kept: df >= 3, in the ads of >= 3 companies, written as a name (every word capitalized or
# carrying a digit or symbol) in >= 40% of its mid-sentence occurrences, with a known skill within 6
# words in >= 20% of them, and a phrase holding a name-like word.
# capitalized (written as a name) and near are those shares; each form=N counts a spelling mid-sentence.
df	name	companies	capitalized	near	forms
145	PowerShell python	93	0.50	1.00	PowerShell python=1|PowerShell Python=1
144	000 USD At	14	1.00	0.24	000 USD At=136
144	360	59	1.00	0.21	360=211
144	CCNA	85	1.00	0.28	CCNA=125
144	Frameworks PyTorch	62	0.86	1.00	Frameworks PyTorch=6|frameworks PyTorch=1
144	Jetpack	75	1.00	0.84	Jetpack=209|JetPack=3
143	Agentforce	35	1.00	0.61	Agentforce=485|AgentForce=2
143	WebSockets	86	0.96	0.74	WebSockets=142|websockets=6|Websockets=4
142	Microsoft Entra	99	1.00	0.59	Microsoft Entra=216
142	React Experience	89	0.72	0.75	React Experience=73|React experience=29
141	JavaScript React	66	1.00	1.00	JavaScript React=3
140	AWS SageMaker	52	1.00	0.79	AWS SageMaker=54|AWS Sagemaker=22
138	Assured	62	0.55	0.46	Assured=74|assured=60
138	GovCloud	64	1.00	0.86	GovCloud=196|Govcloud=2
138	HashiCorp	79	1.00	0.64	HashiCorp=118|Hashicorp=27
137	2013	31	1.00	0.21	2013=130
137	Argo CD	75	1.00	0.67	Argo CD=187
137	AWS Security	100	0.54	0.40	AWS Security=82|AWS security=69
137	Certified Solutions	73	1.00	0.85	Certified Solutions=147
137	Data Factory	84	0.96	0.91	Data Factory=184|data factory=5|Data factory=2
137	SSL	75	1.00	0.63	SSL=178
136	APIs Databases	90	1.00	1.00	APIs Databases=1
136	CD Observability	83	1.00	0.50	CD Observability=2
136	Jamf	103	1.00	0.44	Jamf=170|JAMF=56|jamf=1
136	VPCs	97	1.00	0.62	VPCs=136
134	APIs REST	77	1.00	0.54	APIs REST=69
134	Athena	74	1.00	0.88	Athena=169
134	Fortinet	72	1.00	0.21	Fortinet=184
133	67	6	1.00	0.93	67=132
133	CCSP	85	1.00	0.27	CCSP=130
133	Orchestration Kubernetes	86	0.71	1.00	Orchestration Kubernetes=5|orchestration Kubernetes=2
133	Python node.js	44	1.00	1.00	Python node.js=2
133	WebRTC	51	1.00	0.21	WebRTC=175|webRTC=2
132	Hat	72	0.79	0.73	Hat=129|hat=35
132	HIV	8	1.00	0.49	HIV=136
131	PLM	52	1.00	0.22	PLM=474
131	WCAG	76	1.00	0.38	WCAG=147
130	Azure AI	77	1.00	0.62	Azure AI=155
130	Copilot Claude	79	1.00	1.00	Copilot Claude=1
130	Frontend TypeScript	23	1.00	1.00	Frontend TypeScript=1
130	Responsibilities Define	67	0.75	0.22	Responsibilities Define=23|responsibilities Define=8|RESPONSIBILITIES Define=1
129	Azure AD	100	1.00	0.53	Azure AD=162
129	Dataflow	56	0.85	0.78	Dataflow=121|dataflow=24|DataFlow=11
128	Database Administrator	44	0.95	0.20	Database Administrator=141|database administrator=6|Database administrator=1
128	Microsoft Entra ID	90	1.00	0.61	Microsoft Entra ID=193
128	Notion	38	1.00	0.84	Notion=133
128	PaaS	78	1.00	0.43	PaaS=165|PAAS=2|Paas=1
128	Position Overview We	53	1.00	0.20	Position Overview We=4|POSITION OVERVIEW We=1
127	CD GitLab	16	1.00	1.00	CD GitLab=2|CD Gitlab=1
127	Certified Solutions Architect	67	1.00	0.87	Certified Solutions Architect=134
127	Code GitHub	63	1.00	1.00	Code GitHub=2
127	MVC	80	1.00	0.91	MVC=142
127	Typescript Node.js	81	1.00	1.00	Typescript Node.js=1|TypeScript Node.js=1
126	AWS S3	75	1.00	0.70	AWS S3=46|AWS s3=1
126	DOM	59	0.60	0.54	DOM=48|dom=41|Dom=14
126	Jenkins GitHub Actions	80	1.00	1.00	Jenkins GitHub Actions=1
126	Kubernetes Helm	70	1.00	0.50	Kubernetes Helm=4
